	locality	noteDur	interNote	note/min	numbNote_serie	SeriesDur	interSeries	numbSeries_call	domPeak	minCallFreq	maxCallFreq
01pal	palmeiras	0.015	0.019	1763.4	27.0	0.918	1.297	3.0	4713.6	4459.5	4991.4
02pal	palmeiras	0.018	0.019	1688.3	13.0	0.462	0.528	3.0	4634.6	4402.7	4906.3
03pal	palmeiras	0.013	0.022	1597.3	44.7	1.677	1.551	3.0	4530.5	4343.0	4757.8
04pal	palmeiras	0.015	0.018	1802.6	66.0	2.192	2.167	6.0	4251.6	4021.8	4493.0
05pal	palmeiras	0.016	0.017	1725.0	38.2	1.325	1.323	6.0	4711.0	4495.3	5001.6
06pal	palmeiras	0.018	0.018	1614.3	62.3	2.285	1.184	4.0	4399.3	4220.5	4627.5
07pal	palmeiras	0.015	0.014	2050.5	31.3	0.918	0.479	3.0	4728.7	4500.5	4995.7
08pal	palmeiras	0.014	0.017	2021.5	19.0	0.564	0.824	3.0	4463.8	4231.3	4677.0
09pal	palmeiras	0.014	0.018	1819.7	25.5	0.841	0.692	3.0	4490.6	4078.1	4870.3
10pal	palmeiras	0.015	0.018	1924.7	10.5	0.326	0.869	2.0	4353.5	3966.8	4775.3
11pal	palmeiras	0.013	0.018	1886.6	22.7	0.721	0.569	3.0	4462.5	4082.8	4856.2
12pal	palmeiras	0.016	0.019	1777.9	12.5	0.422	0.488	3.0	4350.0	3960.9	4800.0
13pal	palmeiras	0.015	0.017	1814.0	24.5	0.814	1.241	3.0	4968.8	4481.2	5400.0
14pal	palmeiras	0.014	0.017	1876.8	33.0	1.055	2.043	2.0	4865.6	4331.3	5296.9
15pal	palmeiras	0.016	0.018	1716.9	19.5	0.680	0.764	2.0	4940.7	4593.8	5428.1
16pal	palmeiras	0.016	0.018	1795.8	16.3	0.548	0.561	3.0	4612.5	4200.0	5015.7
17pal	palmeiras	0.018	0.036	1685.4	30.0	1.068	0.600	3.0	4879.7	4514.1	5343.8
18pal	palmeiras	0.013	0.020	1768.4	20.5	0.696	0.781	2.0	4359.4	3942.2	4790.6
01uber	uberlandia	0.020	0.019	1503.1	10.3	0.409	0.416	7.0	4420.3	4195.4	4800.0
03uber	uberlandia	0.017	0.025	1425.5	16.3	0.685	0.573	7.0	3961.0	3651.5	4129.7
04uber	uberlandia	0.016	0.026	1463.0	18.0	0.737	0.525	4.0	4289.1	4000.0	4507.8
05uber	uberlandia	0.020	0.021	1445.9	14.3	0.592	0.602	4.0	4265.6	4106.2	4638.3
06uber	uberlandia	0.023	0.016	1574.1	14.5	0.553	0.758	4.0	4321.9	4087.5	4582.1
07uber	uberlandia	0.015	0.019	1579.4	18.6	0.682	0.824	7.0	4739.5	4528.4	5094.7
08uber	uberlandia	0.013	0.024	1284.7	10.8	0.451	0.540	8.0	4483.2	4280.8	4946.2
09uber	uberlandia	0.022	0.037	1049.9	9.5	0.573	0.351	20.0	4406.2	4218.8	4668.7
10uber	uberlandia	0.022	0.024	1250.9	13.8	0.660	0.687	4.0	4014.8	3740.6	4246.9
11uber	uberlandia	0.023	0.031	1100.5	12.9	0.704	0.477	18.0	4537.5	4314.8	4741.4
12uber	uberlandia	0.025	0.015	1531.2	9.6	0.381	0.363	15.0	4205.4	4035.3	4494.0
13uber	uberlandia	0.022	0.019	1422.9	12.0	0.498	0.783	9.0	4495.3	4120.3	4964.1
14uber	uberlandia	0.021	0.017	1633.9	12.6	0.461	0.679	5.0	4359.3	3853.2	4682.8
15uber	uberlandia	0.019	0.024	1121.8	8.5	0.434	0.577	17.0	4239.9	4009.5	4506.9
16uber	uberlandia	0.016	0.034	1255.5	11.5	0.546	0.619	8.0	4007.3	3828.6	4362.6
17uber	uberlandia	0.015	0.022	1608.4	11.8	0.439	0.591	4.0	4954.8	4640.4	5172.3
18uber	uberlandia	0.018	0.020	1558.9	8.8	0.338	0.352	11.0	4080.5	3867.4	4334.6
19uber	uberlandia	0.022	0.049	1026.4	12.6	0.672	0.438	19.0	4577.4	4418.0	4966.4
20uber	uberlandia	0.021	0.018	1409.7	14.9	0.611	0.464	18.0	4392.8	4186.0	4631.8
											
											
											
											
											
											
