	locality	SVL	HL	HW	ED	END	IND	HAL	TL	TBL	FL	
ZUEC24701	palmeiras	13.4	4.4	4.9	1.5	1.2	1.2	3.5	6.3	7.0	7.3	
ZUEC24702	palmeiras	13.8	4.6	5.0	1.6	1.1	1.4	3.8	6.7	7.2	7.9	
ZUEC24703	palmeiras	13.2	4.0	4.8	1.5	1.0	1.2	3.8	6.4	6.6	7.4	
ZUEC24704	palmeiras	13.1	3.9	4.7	1.5	1.0	1.2	3.6	6.2	6.7	7.2	
ZUEC24707	palmeiras	12.5	4.0	4.5	1.6	1.0	1.2	3.9	6.0	7.1	7.6	
ZUEC24708	palmeiras	15.3	4.1	4.6	1.6	1.1	1.4	4.1	7.0	7.7	8.3	
ZUEC24709	palmeiras	14.3	4.2	4.7	1.5	1.1	1.3	4.0	7.0	7.5	8.2	
AAGUFU3393	palmeiras	13.6	4.5	5.0	1.6	1.1	1.2	3.8	6.5	7.3	7.6	
AAGUFU3394	palmeiras	14.2	4.6	5.3	1.6	1.2	1.3	4.2	6.6	7.6	8.5	
AAGUFU3395	palmeiras	13.1	4.1	4.7	1.6	1.1	1.0	4.0	6.3	7.0	7.8	
AAGUFU3396	palmeiras	13.5	4.1	4.9	1.6	1.1	1.2	4.2	6.5	7.3	8.5	
AAGUFU2277	uberlandia	13.0	4.4	4.5	1.6	1.1	1.1	4.2	6.5	6.7	7.8	
ZUEC13650	uberlandia	15.1	4.6	5.2	1.7	1.4	1.3	4.5	7.6	8.0	9.0	
AAGUFU0855	uberlandia	14.3	4.0	4.8	1.5	1.3	1.2	4.0	7.2	7.5	8.1	
AAGUFU2528	uberlandia	12.7	3.9	4.6	1.5	1.0	1.0	3.8	6.2	6.9	7.4	
AAGUFU3588	uberlandia	13.4	4.0	5.3	1.5	1.1	1.1	4.0	6.6	7.6	8.2	
AAGUFU2278	uberlandia	12.7	4.1	4.6	1.4	0.9	1.0	3.9	6.1	6.7	7.5	
AAGUFU3586	uberlandia	12.1	4.2	4.4	1.6	1.1	0.9	3.4	5.6	6.1	7.0	
ZUEC13651	uberlandia	14.0	4.5	5.0	1.4	1.2	1.0	4.0	7.0	7.5	8.1	
ZUEC13652	uberlandia	13.0	4.6	4.6	1.5	1.2	1.0	4.1	6.5	7.4	7.8	
AAGUFU0853	uberlandia	13.6	4.1	4.6	1.6	1.2	1.1	4.0	7.2	7.3	7.8	
AAGUFU0854	uberlandia	13.1	4.1	4.7	1.4	1.1	1.0	3.8	7.0	7.0	7.6	
AAGUFU2622	uberlandia	12.4	3.1	4.4	1.4	1.0	0.9	3.4	6.1	6.2	7.1	
AAGUFU2281	uberlandia	12.3	3.1	4.2	1.5	0.9	1.1	3.5	6.0	6.5	7.1	
